Region,Product,Sales,Units,Month,Year
West,Printer,18131,60,April,2024
Central,Tablet,23477,78,February,2023
Northeast,Webcam,4609,43,January,2024
Southeast,Headphones,12601,80,December,2023
South,Headphones,9022,56,March,2022
Northwest,Laptop,82536,103,January,2023
Central,Webcam,10287,109,July,2024
Southeast,Phone,51205,102,November,2023
South,Headphones,16709,107,March,2022
Midwest,Keyboard,1634,14,July,2022
Southwest,Mouse,1172,10,November,2022
Midwest,Keyboard,1046,13,January,2023
Midwest,Phone,42685,85,August,2024
South,Headphones,6333,39,June,2024
Northwest,Phone,43993,86,September,2024
Northwest,Phone,48514,96,September,2023
North,Keyboard,8892,108,October,2022
East,Headphones,11820,78,June,2024
South,Tablet,6183,18,August,2023
West,Headphones,9542,61,March,2022
Northwest,Printer,25406,82,January,2023
Midwest,Speaker,17503,83,March,2023
Northwest,Mouse,703,22,October,2023
Northeast,Keyboard,2043,21,October,2022
Northwest,Keyboard,8760,100,August,2022
North,Tablet,4215,11,November,2022
Northeast,Keyboard,4205,45,December,2023
Northeast,Phone,29532,59,November,2023
Midwest,Laptop,66621,83,June,2024
Southeast,Phone,21745,42,August,2022
Central,Mouse,2420,68,September,2023
West,Headphones,5137,30,September,2022
South,Webcam,5619,54,March,2023
Northeast,Monitor,16430,63,January,2022
Northeast,Headphones,10695,69,June,2022
Northwest,Tablet,23527,77,December,2024
North,Printer,16618,54,April,2023
Central,Laptop,17564,21,September,2022
North,Mouse,1424,44,June,2023
East,Printer,5009,16,September,2022
Midwest,Laptop,48579,60,February,2022
South,Laptop,60111,74,February,2023
Northeast,Speaker,8879,42,January,2022
South,Monitor,25853,103,March,2022
Central,Headphones,2215,10,July,2023
West,Printer,12999,42,September,2024
West,Tablet,23848,77,February,2024
South,Headphones,16097,104,January,2024
Northeast,Keyboard,4162,52,July,2023
West,Speaker,9239,43,September,2024
Central,Mouse,3505,94,April,2022
East,Phone,23540,46,February,2023
Central,Printer,7634,25,December,2024
Southeast,Monitor,14866,56,December,2022
East,Printer,9977,32,June,2022
Northwest,Laptop,30787,38,August,2023
South,Laptop,41199,51,May,2022
South,Webcam,2989,27,May,2023
Northeast,Printer,11776,38,January,2023
North,Keyboard,8239,98,September,2024
Northeast,Speaker,18678,93,August,2024
Southeast,Speaker,11878,57,July,2022
Northeast,Tablet,23179,74,June,2024
Northeast,Laptop,51853,64,December,2024
Midwest,Headphones,13480,89,December,2022
Northwest,Phone,36660,73,June,2023
West,Laptop,83798,104,January,2023
Central,Monitor,3855,12,May,2024
North,Headphones,8769,53,April,2023
Northwest,Speaker,7372,33,June,2023
South,Webcam,8123,84,February,2022
North,Headphones,11125,68,August,2023
East,Headphones,15894,103,June,2022
South,Headphones,3091,20,July,2024
Central,Monitor,20549,80,August,2022
East,Printer,6769,21,May,2023
Midwest,Tablet,20045,66,October,2023
Northwest,Tablet,30389,98,June,2023
Central,Speaker,8244,38,December,2023
East,Mouse,3358,102,February,2024
Southwest,Tablet,19841,63,August,2023
West,Phone,51690,102,August,2023
South,Mouse,2294,49,May,2024
Northwest,Monitor,13757,54,June,2022
North,Keyboard,9551,109,October,2024
Northeast,Speaker,20922,101,April,2024
Northeast,Monitor,5432,18,January,2024
Northeast,Phone,40697,81,March,2022
North,Tablet,20104,66,December,2022
North,Speaker,6108,26,December,2022
West,Mouse,1209,14,August,2023
Northwest,Speaker,9240,43,June,2022
East,Monitor,8130,31,February,2023
Southeast,Laptop,72149,90,November,2022
East,Webcam,9913,108,May,2023
Northeast,Phone,43103,86,July,2024
East,Laptop,8037,10,November,2024
West,Headphones,16596,104,August,2023
East,Tablet,5610,16,May,2022
North,Phone,15755,30,May,2023
West,Monitor,21217,82,March,2024
Northeast,Headphones,4358,23,July,2023
North,Laptop,19522,24,May,2023
North,Monitor,3912,15,June,2024
Southwest,Webcam,3378,35,December,2023
North,Webcam,7831,78,February,2024
Southwest,Phone,51581,103,May,2022
Northwest,Keyboard,7040,86,September,2023
Northeast,Headphones,14580,91,June,2024
East,Mouse,1616,39,June,2023
Central,Keyboard,4744,57,October,2024
East,Speaker,14902,72,June,2022
Northwest,Headphones,9252,61,February,2022
East,Headphones,9633,60,December,2022
Central,Mouse,2573,69,February,2023
South,Webcam,1900,15,June,2022
Central,Mouse,2823,65,September,2024
North,Keyboard,8778,108,October,2023
Southeast,Webcam,10633,108,August,2022
West,Tablet,4804,16,June,2022
South,Keyboard,5788,69,December,2023
Northeast,Phone,29003,57,November,2024
Central,Keyboard,3001,36,July,2024
Northwest,Phone,7343,13,February,2023
Southwest,Keyboard,7159,86,June,2023
South,Printer,14995,47,December,2024
Southeast,Laptop,79967,99,March,2024
Northeast,Monitor,3354,11,August,2023
Southeast,Speaker,22606,109,July,2024
Northeast,Mouse,1464,36,April,2022
Northeast,Phone,12890,25,March,2023
Northeast,Mouse,1443,45,April,2023
Central,Printer,17124,55,June,2024
Midwest,Laptop,31824,39,April,2022
North,Phone,22130,43,April,2022
Midwest,Printer,26813,89,March,2024
Midwest,Tablet,28611,93,October,2023
East,Webcam,1960,13,March,2023
Northwest,Tablet,29330,97,August,2022
West,Laptop,13213,16,October,2022
Midwest,Speaker,22258,107,January,2022
Southwest,Keyboard,2463,27,January,2024
West,Mouse,3863,97,April,2024
Northwest,Speaker,13153,64,March,2022
Southeast,Speaker,5771,28,October,2022
East,Keyboard,3283,41,July,2024
Southeast,Phone,37754,74,June,2023
South,Phone,41553,83,September,2023
Northeast,Webcam,6885,69,March,2023
Southwest,Phone,42970,85,November,2024
West,Printer,21818,72,October,2023
Midwest,Monitor,8545,33,June,2024
West,Webcam,9977,107,August,2022
Central,Keyboard,5957,74,March,2023
Northwest,Printer,7946,24,September,2024
Midwest,Headphones,14496,90,May,2024
Southeast,Speaker,3384,14,July,2022
Northeast,Headphones,15301,99,July,2023
Northwest,Tablet,11069,36,September,2022
Northwest,Headphones,5749,38,December,2022
Midwest,Laptop,81702,102,February,2024
Southeast,Laptop,36879,45,April,2023
Southwest,Monitor,9672,35,July,2023
West,Printer,28818,95,July,2024
North,Mouse,1569,28,April,2022
North,Phone,13743,26,September,2024
Northwest,Printer,15149,48,October,2024
Southwest,Webcam,1839,14,June,2024
Midwest,Laptop,68000,84,March,2022
Midwest,Mouse,1341,16,October,2022
East,Monitor,25712,102,March,2024
Southeast,Webcam,10100,108,June,2023
Southwest,Speaker,11920,56,September,2024
Southwest,Laptop,60081,75,September,2023
Southwest,Keyboard,8101,92,December,2024
East,Laptop,10891,13,May,2022
Northwest,Mouse,1346,24,January,2024
Southwest,Printer,20872,67,May,2024
West,Phone,11356,22,June,2022
North,Webcam,8739,87,August,2023
Midwest,Printer,22520,74,August,2024
Northeast,Headphones,5056,31,December,2024
Central,Mouse,1845,58,April,2024
Southwest,Headphones,8893,59,March,2022
Northwest,Headphones,6680,39,September,2022
West,Mouse,876,26,January,2024
Southeast,Phone,12504,25,June,2023
Northwest,Phone,49702,98,April,2022
Central,Mouse,1358,31,February,2023
Central,Monitor,20990,82,March,2023
Southwest,Headphones,7892,48,December,2022
East,Mouse,1064,14,March,2024
Northeast,Monitor,24485,95,October,2023
Northwest,Laptop,40892,50,September,2024
East,Mouse,2003,55,June,2023
North,Tablet,14300,47,October,2023
West,Mouse,2286,75,September,2023
East,Keyboard,5703,65,August,2023
Central,Mouse,3760,101,October,2022
Midwest,Webcam,1755,11,April,2024
Southwest,Speaker,4865,22,June,2024
Northeast,Tablet,26463,86,July,2022
Southwest,Webcam,3886,40,April,2024
West,Headphones,9741,61,August,2022
North,Tablet,19850,64,July,2024
Northwest,Headphones,11923,74,January,2022
North,Keyboard,5588,65,February,2024
Northwest,Laptop,37615,46,August,2024
Central,Keyboard,4311,47,March,2023
East,Printer,12125,38,August,2023
Southwest,Monitor,19469,76,November,2024
Northeast,Printer,23575,77,December,2023
South,Laptop,77716,96,January,2023
Northeast,Mouse,1868,52,October,2023
Central,Printer,20945,67,October,2024
Southwest,Monitor,25642,101,January,2023
West,Monitor,26433,102,July,2022
North,Tablet,32514,107,March,2022
Southeast,Keyboard,4132,46,June,2022
Southeast,Keyboard,7828,94,April,2024
Central,Printer,30906,101,December,2024
South,Monitor,12819,51,December,2024
Northeast,Keyboard,1915,19,March,2023
Midwest,Keyboard,7983,98,March,2024
Midwest,Webcam,6192,60,February,2022
North,Speaker,5769,24,January,2023
Southwest,Tablet,17353,57,August,2022
West,Laptop,53334,66,July,2024
Southeast,Printer,24420,79,July,2024
North,Tablet,24254,79,November,2024
West,Laptop,44065,54,August,2024
West,Keyboard,2817,34,January,2023
Northwest,Phone,48937,97,May,2022
Midwest,Tablet,14540,47,February,2023
Southeast,Phone,21437,42,February,2024
Midwest,Tablet,16140,53,May,2024
Midwest,Phone,20538,41,April,2024
Northwest,Webcam,3507,33,September,2022
North,Phone,8284,15,February,2024
Southeast,Speaker,15213,74,August,2023
Northeast,Keyboard,7621,84,July,2023
East,Printer,26126,86,October,2024
East,Headphones,15810,101,August,2022
Northwest,Mouse,629,12,August,2022
East,Printer,8419,27,November,2024
East,Laptop,26366,32,February,2022
Northeast,Printer,18412,59,August,2023
Midwest,Tablet,20327,65,March,2022
Central,Tablet,26536,87,June,2023
Northeast,Mouse,3098,86,August,2022
Southeast,Laptop,18545,22,August,2024
West,Tablet,23020,75,January,2024
Southwest,Tablet,14745,48,December,2022
South,Speaker,20635,103,December,2023
Northeast,Printer,5506,17,March,2022
Midwest,Printer,4857,13,April,2023
Midwest,Phone,13343,26,November,2022
Midwest,Monitor,10059,38,October,2022
Northeast,Keyboard,3896,39,November,2023
West,Webcam,6063,64,June,2022
Northeast,Webcam,6952,73,May,2024
Southeast,Monitor,23555,91,April,2022
North,Phone,53569,107,October,2023
Northeast,Keyboard,3225,29,July,2023
Northwest,Keyboard,2369,21,April,2022
North,Laptop,32660,40,March,2022
East,Mouse,3642,109,June,2023
Central,Webcam,8092,82,September,2024
Southwest,Mouse,1090,36,January,2022
Central,Monitor,4525,16,January,2023
South,Printer,10168,33,January,2022
Southeast,Headphones,15896,101,May,2023
Southwest,Mouse,793,18,October,2023
Southeast,Tablet,22208,73,September,2024
South,Printer,11330,35,January,2022
Northwest,Tablet,30340,100,December,2024
West,Monitor,9424,35,May,2023
East,Webcam,10152,102,June,2023
Midwest,Webcam,5397,58,September,2024
Southeast,Speaker,9000,42,August,2023
South,Printer,16052,51,June,2023
West,Keyboard,1861,21,April,2022
Central,Monitor,17194,67,December,2023
South,Tablet,26876,89,March,2024
East,Phone,52716,104,September,2022
West,Webcam,2622,23,February,2024
East,Keyboard,2176,21,November,2024
Northeast,Webcam,2427,21,November,2022
East,Headphones,3189,18,August,2023
Midwest,Tablet,5986,19,January,2023
East,Printer,6562,19,March,2023
North,Keyboard,4018,38,June,2022
West,Monitor,15014,59,July,2023
Southwest,Laptop,70113,87,June,2024
South,Phone,41300,82,November,2024
Southeast,Printer,23952,77,July,2022
Northwest,Phone,40040,80,September,2022
West,Tablet,9919,30,August,2023
Northwest,Speaker,15699,78,September,2022
Southeast,Headphones,9600,60,September,2024
Midwest,Keyboard,8567,97,November,2022
North,Phone,48046,95,May,2023
Southeast,Mouse,2746,74,December,2023
West,Laptop,20172,25,June,2023
Central,Mouse,3010,83,August,2022
East,Mouse,2986,86,March,2024
Southeast,Monitor,13123,50,March,2024
Northeast,Phone,27771,54,January,2022
West,Headphones,6808,40,November,2024
South,Mouse,2582,64,March,2023
North,Headphones,8821,58,August,2023
Southeast,Tablet,12414,41,April,2024
Southwest,Headphones,3081,20,May,2024
Southeast,Phone,43476,86,April,2022
North,Phone,15833,30,October,2022
Northwest,Tablet,26179,85,April,2023
East,Laptop,87314,108,April,2023
East,Speaker,10601,51,September,2023
West,Webcam,7740,81,January,2023
Central,Monitor,12685,48,March,2023
Midwest,Printer,11143,35,January,2024
North,Monitor,26897,105,December,2023
North,Keyboard,3224,33,August,2022
North,Speaker,16826,81,March,2022
West,Printer,32478,107,June,2022
Central,Printer,18649,60,June,2022
Southwest,Monitor,10806,40,October,2023
Midwest,Monitor,22692,89,November,2024
North,Monitor,14637,57,February,2024
Southwest,Printer,3415,11,August,2023
North,Headphones,6023,35,November,2022
Midwest,Printer,18986,60,May,2024
Central,Laptop,18604,23,February,2023
Northeast,Webcam,5034,50,November,2023
Central,Printer,5003,15,February,2022
East,Keyboard,8947,104,January,2023
North,Phone,10850,21,April,2023
Central,Tablet,31659,105,November,2022
Midwest,Webcam,6478,62,May,2023
Northeast,Tablet,21466,70,June,2024
East,Printer,13536,45,April,2023
Southeast,Monitor,7671,28,December,2024
West,Speaker,20820,101,January,2022
Midwest,Headphones,14893,99,May,2024
Northwest,Tablet,24528,79,February,2022
West,Tablet,23175,77,June,2023
Midwest,Webcam,5917,57,July,2024
Northwest,Keyboard,8023,93,October,2024
South,Webcam,5433,54,July,2023
Central,Monitor,11246,41,October,2023
Central,Tablet,17222,55,July,2022
Southeast,Tablet,30026,97,December,2023
Southeast,Phone,34979,68,September,2024
Southwest,Laptop,46515,58,October,2024
East,Monitor,20640,79,September,2024
East,Headphones,7357,48,April,2023
Southeast,Mouse,2493,54,January,2022
North,Laptop,86374,107,July,2022
North,Webcam,7162,71,March,2024
North,Printer,4461,12,September,2022
North,Headphones,15712,102,January,2022
Northeast,Webcam,7225,76,August,2022
East,Monitor,14021,55,December,2024
Northeast,Webcam,4218,42,October,2023
Northeast,Mouse,2542,67,May,2023
Southwest,Keyboard,1481,10,September,2024
Southwest,Mouse,3659,108,December,2024
Southwest,Keyboard,8242,92,March,2022
West,Tablet,31481,104,January,2024
Midwest,Mouse,1450,18,September,2024
Northwest,Phone,6632,12,February,2022
Midwest,Headphones,9754,65,December,2023
Central,Headphones,3356,19,August,2022
East,Mouse,1823,40,September,2024
Midwest,Monitor,8230,29,August,2024
South,Tablet,13061,42,July,2022
South,Monitor,21108,82,August,2023
West,Headphones,9548,59,August,2022
Central,Monitor,19582,75,January,2023
Central,Keyboard,4411,51,March,2023
North,Headphones,14126,91,December,2023
Northwest,Printer,24710,82,January,2024
North,Headphones,6641,38,May,2024
East,Speaker,4590,21,July,2023
Midwest,Mouse,2024,48,June,2024
Southwest,Keyboard,4097,47,June,2022
South,Monitor,27408,107,February,2024
East,Mouse,2311,75,May,2022
West,Headphones,3768,19,July,2024
Midwest,Monitor,19856,77,December,2023
Northwest,Keyboard,1682,13,October,2023
Central,Monitor,24237,95,October,2024
Southwest,Monitor,2579,10,September,2024
Midwest,Keyboard,1414,17,April,2022
North,Webcam,10712,109,October,2022
Southwest,Webcam,3710,40,January,2022
North,Printer,19031,62,April,2022
Southeast,Webcam,3242,33,May,2023
West,Speaker,7778,36,March,2024
South,Speaker,9531,45,September,2024
South,Webcam,8690,96,November,2023
Northwest,Webcam,2067,17,August,2022
Midwest,Monitor,18916,74,May,2023
North,Mouse,2613,84,November,2022
Northwest,Headphones,10677,71,October,2022
Northwest,Printer,28003,93,June,2024
West,Phone,52956,105,March,2023
Southwest,Mouse,1329,38,February,2023
Southeast,Webcam,5282,50,October,2023
West,Headphones,3843,24,February,2023
North,Webcam,1669,14,October,2024
Northeast,Headphones,8314,50,May,2023
Northeast,Monitor,21847,86,July,2022
Central,Phone,39666,78,June,2024
North,Keyboard,2477,19,June,2024
East,Speaker,15594,75,March,2022
South,Headphones,14975,98,January,2024
Central,Webcam,7781,85,October,2024
South,Printer,11116,35,January,2023
Midwest,Webcam,8580,94,October,2024
Southwest,Printer,10368,33,February,2023
West,Headphones,15840,104,April,2023
Southeast,Phone,37046,73,February,2023
Midwest,Printer,31426,104,December,2022
Northwest,Tablet,17738,57,August,2023
Southeast,Printer,14496,47,September,2022
Central,Tablet,9183,29,October,2023
West,Phone,44771,89,January,2024
South,Printer,31865,106,July,2022
Southwest,Webcam,4615,49,December,2022
West,Headphones,3468,21,September,2022
Southwest,Printer,6812,22,May,2023
Central,Laptop,22215,27,September,2023
Northwest,Laptop,70970,88,July,2022
Central,Webcam,4138,40,June,2024
Northeast,Keyboard,5391,60,September,2023
Northwest,Printer,26243,86,May,2024
South,Printer,20062,66,October,2024
Central,Webcam,3832,38,March,2022
North,Printer,27634,89,July,2023
Northeast,Monitor,17915,68,February,2023
East,Monitor,9908,37,March,2023
East,Webcam,2036,21,April,2024
Northwest,Tablet,10304,33,April,2023
West,Mouse,1626,48,October,2024
Southwest,Laptop,26293,32,February,2022
East,Printer,31583,102,December,2024
East,Headphones,13740,85,January,2022
Central,Mouse,2782,81,August,2023
Midwest,Phone,26485,52,May,2023
Northeast,Phone,50102,99,March,2024
Northwest,Laptop,28827,35,June,2024
Northeast,Tablet,16174,52,November,2024
Northeast,Tablet,4187,13,July,2022
Northwest,Monitor,19802,79,February,2022
Southwest,Mouse,2848,64,December,2022
Northeast,Headphones,8037,50,January,2024
South,Webcam,5947,66,September,2022
South,Monitor,15260,61,December,2023
Northeast,Keyboard,8792,106,March,2024
Southeast,Keyboard,9087,107,July,2023
Midwest,Tablet,14190,46,January,2022
South,Speaker,20818,100,September,2023
Northwest,Laptop,75108,93,February,2022
Southeast,Webcam,2344,17,May,2022
South,Mouse,1554,34,December,2023
East,Monitor,10515,42,April,2022
Southwest,Tablet,13523,42,March,2023
Northeast,Tablet,8890,29,May,2023
Northwest,Headphones,3146,16,November,2023
West,Tablet,14154,45,September,2023
Northeast,Headphones,12612,82,October,2024
Southeast,Mouse,936,21,June,2022
North,Webcam,5644,56,October,2022
East,Laptop,13565,16,November,2024
West,Laptop,71942,89,August,2022
Northeast,Headphones,8161,50,May,2022
West,Keyboard,3381,42,September,2024
Central,Laptop,55310,69,June,2024
Southeast,Printer,27238,89,July,2023
South,Tablet,24167,80,September,2024
Southwest,Webcam,5267,49,January,2024
Southwest,Printer,31345,102,December,2024
Northwest,Mouse,2482,54,December,2022
